Geo,Year,FwyLaneMi,ArtLaneMi
Metro,2005,538,1867
Metro,2010,549,1934
Metro,2020,577,2090
Metro,2025,584,2114
Metro,2030,591,2138
Metro,2035,597,2154
Metro,2040,602,2171
Metro,2045,607,2188
Metro,2050,613,2205
None,2005,98,624
None,2010,100,647
None,2020,104,680
None,2025,107,691
None,2030,109,701
None,2035,111,712
None,2040,114,722
None,2045,116,733
None,2050,118,743
