"Year","CarSvcAutoPropIcev","CarSvcAutoPropHev","CarSvcAutoPropBev","CarSvcLtTrkPropIcev","CarSvcLtTrkPropHev","CarSvcLtTrkPropBev"
2005,1,0,0,1,0,0
2021,0.809,0.165,0.026,0.951,0.044,0.005
2050,0.425,0.348,0.227,0.568,0.249,0.183
