"Geo","Year","FwySmooth","ArtSmooth","LdvEcoDrive","HvyTrkEcoDrive"
"SKATS",2005,0,0,0.001950954,0
"SKATS",2021,0,0,0.038029223,0
"SKATS",2050,0,0,0.239495056,0
