Geo,Year,AveHhSize,Prop1PerHh
Keizer,2005,2.677645647,0.220244352
Marion_Inside_UGB_1,2005,2.938620659,0.192333607
Marion_Inside_UGB_2,2005,2.893148594,0.187751805
Marion_Inside_UGB_3,2005,2.750460391,0.323667543
Marion_Outside_UGB,2005,2.760668609,0.17823687
Polk,2005,2.501023741,0.2657503
Salem_1,2005,2.552506532,0.257177092
Salem_2,2005,2.272047285,0.449476498
Salem_3,2005,2.102464601,0.530185314
Salem_4,2005,2.622753409,0.292090002
Salem_5,2005,2.465948909,0.290081837
Turner,2005,2.230713768,0.190962314
Keizer,2021,2.764814815,0.225440802
Marion_Inside_UGB_1,2021,3.034285714,0.196871531
Marion_Inside_UGB_2,2021,2.987333333,0.192181626
Marion_Inside_UGB_3,2021,2.84,0.331304163
Marion_Outside_UGB,2021,2.850540541,0.182442195
Polk,2021,2.546470588,0.265742579
Salem_1,2021,2.598888889,0.257169621
Salem_2,2021,2.313333333,0.44946344
Salem_3,2021,2.170909091,0.542694519
Salem_4,2021,2.708135593,0.29898158
Salem_5,2021,2.546226415,0.296926035
Turner,2021,2.303333333,0.195467884
Keizer,2050,2.852773087,0.225440802
Marion_Inside_UGB_1,2050,3.108340284,0.196871531
Marion_Inside_UGB_2,2050,3.05077574,0.192181626
Marion_Inside_UGB_3,2050,2.901866346,0.331304163
Marion_Outside_UGB,2050,2.883177414,0.182442195
Polk,2050,3.06673209,0.265742579
Salem_1,2050,2.687737404,0.257169621
Salem_2,2050,2.888601036,0.44946344
Salem_3,2050,2.105310263,0.542694519
Salem_4,2050,2.926063854,0.29898158
Salem_5,2050,2.502912353,0.296926035
Turner,2050,1.896337678,0.195467884
