"Geo","Year","AveHhSize","Prop1PerHh"
"Keizer",2005,2.67764564660969,0.220244351524267
"Marion_Inside_UGB_1",2005,2.9386206591096,0.192333606711344
"Marion_Inside_UGB_2",2005,2.89314859429664,0.187751805227926
"Marion_Inside_UGB_3",2005,2.75046039091803,0.323667543269436
"Marion_Outside_UGB",2005,2.76066860896578,0.178236870276984
"Polk",2005,2.50102374097174,0.265750299939475
"Salem_1",2005,2.55250653248786,0.257177091970901
"Salem_2",2005,2.2720472854381,0.4494764983593
"Salem_3",2005,2.10246460099624,0.530185313826224
"Salem_4",2005,2.62275340929149,0.292090001644768
"Salem_5",2005,2.46594890881204,0.29008183656073
"Turner",2005,2.23071376775159,0.19096231404669
"Keizer",2021,2.76481481481481,0.225440802299468
"Marion_Inside_UGB_1",2021,3.03428571428571,0.196871530670689
"Marion_Inside_UGB_2",2021,2.98733333333333,0.19218162604771
"Marion_Inside_UGB_3",2021,2.84,0.331304163434673
"Marion_Outside_UGB",2021,2.85054054054054,0.182442195481967
"Polk",2021,2.54647058823529,0.26574257947764
"Salem_1",2021,2.59888888888889,0.257169620574166
"Salem_2",2021,2.31333333333333,0.449463440364062
"Salem_3",2021,2.17090909090909,0.542694519469706
"Salem_4",2021,2.70813559322034,0.298981580497849
"Salem_5",2021,2.54622641509434,0.296926034716257
"Turner",2021,2.30333333333333,0.195467883692378
"Keizer",2050,2.76481481481481,0.225440802299468
"Marion_Inside_UGB_1",2050,3.03428571428571,0.196871530670689
"Marion_Inside_UGB_2",2050,2.98733333333333,0.19218162604771
"Marion_Inside_UGB_3",2050,2.84,0.331304163434673
"Marion_Outside_UGB",2050,2.85054054054054,0.182442195481967
"Polk",2050,2.54647058823529,0.26574257947764
"Salem_1",2050,2.59888888888889,0.257169620574166
"Salem_2",2050,2.31333333333333,0.449463440364062
"Salem_3",2050,2.17090909090909,0.542694519469706
"Salem_4",2050,2.70813559322034,0.298981580497849
"Salem_5",2050,2.54622641509434,0.296926034716257
"Turner",2050,2.30333333333333,0.195467883692378
