Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Keizer,2005,7917,2501,5259,12055,3486,4145
Marion_Inside_UGB_1,2005,6266,1980,4163,9542,2759,3281
Marion_Inside_UGB_2,2005,3496,1105,2323,5324,1539,1831
Marion_Inside_UGB_3,2005,65,21,43,100,29,34
Marion_Outside_UGB,2005,2210,698,1468,3365,973,1157
Polk,2005,800,326,651,1311,463,596
Salem_1,2005,4421,1802,3596,7241,2559,3291
Salem_2,2005,279,114,227,458,162,208
Salem_3,2005,1020,322,678,1554,449,534
Salem_4,2005,9389,2966,6237,14297,4133,4916
Salem_5,2005,14178,4479,9418,21589,6242,7424
Turner,2005,458,145,305,698,202,240
Keizer,2021,8309,2841,5468,13257,4827,7245
Marion_Inside_UGB_1,2021,6590,2253,4337,10514,3829,5746
Marion_Inside_UGB_2,2021,3672,1256,2417,5859,2134,3202
Marion_Inside_UGB_3,2021,68,23,44,108,39,59
Marion_Outside_UGB,2021,2295,784,1510,3661,1333,2001
Polk,2021,864,332,786,1382,536,924
Salem_1,2021,4788,1841,4354,7655,2971,5115
Salem_2,2021,309,119,281,494,192,330
Salem_3,2021,1082,370,712,1727,629,944
Salem_4,2021,9877,3377,6500,15758,5738,8612
Salem_5,2021,14865,5082,9782,23716,8636,12961
Turner,2021,478,163,315,763,278,417
Keizer,2050,7020,2429,5442,13770,5402,9864
Marion_Inside_UGB_1,2050,5956,2061,4617,11683,4583,8369
Marion_Inside_UGB_2,2050,2959,1024,2293,5803,2277,4157
Marion_Inside_UGB_3,2050,770,267,597,1511,593,1082
Marion_Outside_UGB,2050,2692,932,2087,5281,2072,3783
Polk,2050,986,387,831,2005,696,1195
Salem_1,2050,5581,2192,4702,11350,3937,6765
Salem_2,2050,360,142,304,733,254,437
Salem_3,2050,1128,390,874,2212,868,1585
Salem_4,2050,10297,3563,7982,20196,7923,14468
Salem_5,2050,15996,5536,12401,31377,12309,22477
Turner,2050,488,169,378,958,376,686
