age_bin,sex,cause,deaths,ylls,ref_pop
60,male,copd,88.92,2477.06,127662
65,male,copd,156.06,3648.46,121078
70,male,copd,233.81,4464.65,94849
75,male,copd,250.14,3773.61,61792
80,male,copd,224,2591.46,36498
85,male,copd,179.1,1578.51,19972
90,male,copd,113.11,773.41,8722
95,male,copd,42.14,220.07,2450
0,female,copd,0.026,2.25,82231
5,female,copd,0.016,1.29,111658
10,female,copd,0.021,1.58,121109
15,female,copd,0.074,5.3,121856
20,female,copd,0.1,6.63,122077
25,female,copd,0.16,10.15,132174
30,female,copd,0.31,17.44,133953
35,female,copd,0.75,38.88,138494
40,female,copd,1.84,85.89,128520
45,female,copd,6.05,253.23,126846
50,female,copd,16.73,621.29,121519
55,female,copd,38.76,1257.63,134445
60,female,copd,82.08,2285.67,138870
65,female,copd,148.08,3456.8,133851
70,female,copd,215.95,4118.31,105038
75,female,copd,239.26,3598.43,71660
80,female,copd,220.04,2541.31,45540
85,female,copd,177.46,1558.1,29823
90,female,copd,134.96,917.33,16778
95,female,copd,72.08,371.26,6197
1,male,road_injuries,1.75,150.11,86528
5,male,road_injuries,2,163.28,117081
10,male,road_injuries,3.15,240.22,127183
15,male,road_injuries,16.12,1146.81,127389
20,male,road_injuries,26.64,1771.25,126416
25,male,road_injuries,21.37,1318.42,135285
30,male,road_injuries,17.25,976.66,133532
35,male,road_injuries,19.81,1024.9,135703
40,male,road_injuries,18.31,855.93,128161
45,male,road_injuries,22.17,927.71,127762
50,male,road_injuries,24.37,918.17,121596
55,male,road_injuries,25.05,812.88,127945
60,male,road_injuries,25.41,707.88,127662
65,male,road_injuries,24.32,568.66,121078
70,male,road_injuries,20.47,390.81,94849
75,male,road_injuries,15.85,239.16,61792
80,male,road_injuries,12.53,145,36498
85,male,road_injuries,8.94,78.77,19972
90,male,road_injuries,4.45,30.45,8722
95,male,road_injuries,1.32,6.89,2450
1,female,road_injuries,1.58,135.99,82231
5,female,road_injuries,1.54,126.14,111658
10,female,road_injuries,2.22,169.17,121109
15,female,road_injuries,11.32,807.72,121856
20,female,road_injuries,10.4,691.61,122077
25,female,road_injuries,8.5,523.57,132174
30,female,road_injuries,7.96,450.76,133953
35,female,road_injuries,8.6,444.08,138494
40,female,road_injuries,7.51,350.77,128520
45,female,road_injuries,8.41,351.87,126846
50,female,road_injuries,9.15,339.89,121519
55,female,road_injuries,9.98,323.77,134445
60,female,road_injuries,11.77,327.66,138870
65,female,road_injuries,11.09,258.86,133851
70,female,road_injuries,10.57,201.59,105038
75,female,road_injuries,9.53,143.28,71660
80,female,road_injuries,7.42,85.64,45540
85,female,road_injuries,5.75,50.49,29823
90,female,road_injuries,3.32,22.55,16778
95,female,road_injuries,1.2,6.16,6197
