Geo,Year,PM25
31,2005,5.355490274
32,2005,5.445381341
33,2005,5.2695526
34,2005,5.359474724
35,2005,5.353648421
36,2005,5.296943601
37,2005,5.287748899
38,2005,5.434518791
39,2005,5.300373216
40,2005,5.351290325
41,2005,5.413696035
42,2005,5.492414971
43,2005,5.749013483
44,2005,5.716288805
45,2005,5.483638954
47,2005,5.50214138
48,2005,5.716580832
49,2005,5.656600026
50,2005,5.487720873
51,2005,5.655817091
52,2005,5.761468997
53,2005,5.790607017
54,2005,5.63453713
55,2005,5.481746413
56,2005,5.4798081
61,2005,5.778902527
64,2005,5.786179985
65,2005,5.704943077
66,2005,5.602116562
67,2005,5.515642257
70,2005,5.434808467
71,2005,5.627057857
74,2005,5.690535735
75,2005,5.704522711
76,2005,5.702694309
77,2005,5.754204968
78,2005,5.786344342
80,2005,5.623893574
81,2005,5.664322849
82,2005,5.750186276
83,2005,5.626319928
84,2005,5.623793029
85,2005,5.70819778
86,2005,5.785286866
87,2005,5.711732824
88,2005,5.71341678
89,2005,5.745819754
90,2005,5.701596185
91,2005,5.797226116
92,2005,5.81297851
94,2005,5.799635858
95,2005,5.79909623
100,2005,5.795235411
103,2005,5.799631461
104,2005,5.781687294
107,2005,5.786409636
110,2005,5.666958321
111,2005,5.710876145
112,2005,5.772935623
114,2005,5.74351199
116,2005,5.759582637
117,2005,5.742756224
118,2005,5.753054819
120,2005,5.790502392
124,2005,5.770173871
125,2005,5.757095014
126,2005,5.737318613
128,2005,5.748831179
129,2005,5.623793029
130,2005,5.683816081
131,2005,5.709266714
132,2005,5.684093126
133,2005,5.620607683
134,2005,5.685050321
135,2005,5.827246203
136,2005,5.830257511
137,2005,5.830459645
138,2005,5.643387806
139,2005,5.706726921
140,2005,5.798620604
141,2005,5.785471104
143,2005,5.783284485
144,2005,5.780606461
146,2005,5.797444908
147,2005,5.767488446
148,2005,5.708127039
149,2005,5.74829939
150,2005,5.776992807
151,2005,5.794486903
152,2005,5.690789763
153,2005,5.694808303
154,2005,5.718305694
155,2005,5.74381882
156,2005,5.761287434
158,2005,5.759576034
162,2005,5.760685332
164,2005,5.700119292
168,2005,5.699968338
169,2005,5.646311642
170,2005,5.645223774
171,2005,5.646158865
172,2005,5.699959196
173,2005,5.738197043
180,2005,5.708400306
185,2005,5.645891612
186,2005,5.699884897
189,2005,5.647552607
193,2005,5.653717585
194,2005,5.645270021
196,2005,5.644197278
200,2005,5.712272742
204,2005,5.656789227
205,2005,5.656067589
206,2005,5.656268235
207,2005,5.542529945
211,2005,5.759744902
212,2005,5.715945228
213,2005,5.713431075
214,2005,5.735457639
220,2005,5.719234492
221,2005,5.714413917
222,2005,5.73519471
223,2005,5.736458551
224,2005,5.736451197
225,2005,5.769938186
226,2005,5.773342087
227,2005,5.788409729
229,2005,5.769844515
230,2005,5.733422521
231,2005,5.703356019
232,2005,5.702644809
233,2005,5.700001761
234,2005,5.700011372
235,2005,5.714056219
236,2005,5.776197154
237,2005,5.771906311
238,2005,5.801085729
242,2005,5.700074824
243,2005,5.732918578
244,2005,5.700066702
245,2005,5.700225784
246,2005,5.799372259
249,2005,5.824589489
254,2005,5.704172657
256,2005,5.743111133
257,2005,5.779561448
258,2005,5.793123253
259,2005,5.782709089
260,2005,5.800023188
261,2005,5.800238709
279,2005,5.800006935
280,2005,5.800000191
281,2005,5.80781687
282,2005,5.729224229
283,2005,5.736610508
284,2005,5.755032767
285,2005,5.699999809
286,2005,5.700584177
289,2005,5.70003959
290,2005,5.699761834
294,2005,5.699530637
295,2005,5.699519947
296,2005,5.70675318
298,2005,5.688615254
299,2005,5.652105521
300,2005,5.686713403
301,2005,5.77186037
302,2005,5.73707886
303,2005,5.787913693
304,2005,5.731893591
309,2005,5.723013375
310,2005,5.773168873
312,2005,5.741581685
313,2005,5.785636772
314,2005,5.717212161
322,2005,5.667130811
323,2005,5.670356279
324,2005,5.709439978
330,2005,5.740354736
332,2005,5.62969888
333,2005,5.568846825
334,2005,5.590779552
335,2005,5.655979239
336,2005,5.699875155
338,2005,5.702130831
345,2005,5.47353286
346,2005,5.510217089
347,2005,5.573444455
350,2005,5.678691562
354,2005,5.736439108
357,2005,5.661257891
358,2005,5.599925194
359,2005,5.588801367
360,2005,5.543148417
361,2005,5.509960121
