ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1975,14.290476190476193,41.57080799000001,41.57080799000001,12.207142857142864,28.60729372,28.60729372,3.500000000000001,2.0000000000000004,3.500000000000001,2.0000000000000004,25.000000000000018,25.000000000000018,50.000000000000036,37.500000000000014
1976,15.10714285714286,41.57080799000001,41.57080799000001,11.950000000000005,28.607293720000005,28.607293720000005,3.5000000000000013,2.0000000000000004,3.5000000000000013,2.0000000000000004,25.000000000000018,25.000000000000018,50.000000000000036,37.50000000000001
1977,16.150000000000006,41.57080799000001,41.57080799000001,12.128571428571432,28.607293720000012,28.607293720000012,3.5000000000000013,2.0000000000000004,3.5000000000000013,2.0000000000000004,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000001
1978,17.419047619047628,41.57080799000002,41.57080799000002,12.74285714285715,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1979,18.880952380952394,41.57080799000002,41.57080799000002,13.75238095238096,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1980,20.74761904761906,41.57080799000002,41.57080799000002,15.114285714285723,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1981,22.29523809523811,41.57080799000002,41.57080799000002,16.82857142857144,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1982,23.571428571428587,41.57080799000002,41.57080799000002,18.04285714285715,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1983,23.952380952380967,41.57080799000002,41.57080799000002,18.033333333333346,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1984,24.45714285714287,41.57080799000002,41.57080799000002,18.152380952380966,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
