"Geo","Year","TransitEthanolPropGasoline","TransitBiodieselPropDiesel","TransitRngPropCng"
"LCOG",2005,0.1,0,0
"LCOG",2010,0.1,0.056,0
"LCOG",2020,0.11,0.427672955974843,0
"LCOG",2035,0.11,0.427672955974843,0
"LCOG",2045,0.11,0.427672955974843,0
