Geo,Year,PropSovDvmtDiverted
Coburg,2005,0.016633
Coburg,2010,0.024949
Coburg,2020,0.046571
Coburg,2035,0.079004
Coburg,2045,0.079004
Eugene,2005,0.047678
Eugene,2010,0.071517
Eugene,2020,0.133499
Eugene,2035,0.175
Eugene,2045,0.175
Springfield,2005,0.022835
Springfield,2010,0.034252
Springfield,2020,0.063938
Springfield,2035,0.108466
Springfield,2045,0.108466
