"Geo","Year","VehOwnFlatRateFee.2005","VehOwnAdValoremTax"
"Coburg",2005,59.2,0
"Coburg",2010,81.2,0
"Coburg",2020,102.1,0
"Coburg",2035,102.8,0
"Coburg",2045,104.5,0
"Eugene",2005,59.2,0
"Eugene",2010,81.2,0
"Eugene",2020,102.1,0
"Eugene",2035,102.8,0
"Eugene",2045,104.5,0
"Springfield",2005,59.2,0
"Springfield",2010,81.2,0
"Springfield",2020,102.1,0
"Springfield",2035,102.8,0
"Springfield",2045,104.5,0
