Geo,Year,EcoProp,ImpProp
23,2045,0.07,0.04
24,2005,0.06,0.01
24,2010,0.06,0.05
24,2020,0.06,0.05
24,2035,0.125,0.075
24,2045,0.13,0.1
25,2005,0.06,0.01
25,2010,0.06,0.05
25,2020,0.06,0.05
25,2035,0.125,0.075
25,2045,0.13,0.1
26,2005,0,0
26,2010,0,0
26,2020,0,0
26,2035,0,0
26,2045,0,0
27,2005,0.03,0
27,2010,0.03,0
27,2020,0.03,0.0075
27,2035,0.05,0.0275
27,2045,0.07,0.04
28,2005,0.03,0
28,2010,0.03,0
28,2020,0.03,0.0075
28,2035,0.05,0.0275
28,2045,0.07,0.04
29,2005,0.03,0
29,2010,0.03,0
29,2020,0.03,0.0075
29,2035,0.05,0.0275
29,2045,0.07,0.04
30,2005,0.03,0
30,2010,0.03,0
30,2020,0.03,0.0075
30,2035,0.05,0.0275
30,2045,0.07,0.04
31,2005,0.03,0
31,2010,0.03,0
31,2020,0.03,0.0075
31,2035,0.05,0.0275
31,2045,0.07,0.04
32,2005,0.03,0
32,2010,0.03,0
32,2020,0.03,0.0075
32,2035,0.05,0.0275
32,2045,0.07,0.04
33,2005,0.03,0
33,2010,0.03,0
33,2020,0.03,0.0075
33,2035,0.05,0.0275
33,2045,0.07,0.04
34,2005,0,0
34,2010,0,0
34,2020,0,0
34,2035,0,0
34,2045,0,0
35,2005,0.03,0
35,2010,0.03,0
35,2020,0.03,0.0075
35,2035,0.05,0.0275
35,2045,0.07,0.04
36,2005,0.03,0
36,2010,0.03,0
36,2020,0.03,0.0075
36,2035,0.05,0.0275
36,2045,0.07,0.04
37,2005,0.03,0
37,2010,0.03,0
37,2020,0.03,0.0075
37,2035,0.05,0.0275
37,2045,0.07,0.04
38,2005,0.03,0
38,2010,0.03,0
38,2020,0.03,0.0075
38,2035,0.05,0.0275
38,2045,0.07,0.04
39,2005,0.03,0
39,2010,0.03,0
39,2020,0.03,0.0075
39,2035,0.05,0.0275
39,2045,0.07,0.04
40,2005,0.03,0
40,2010,0.03,0
40,2020,0.03,0.0075
40,2035,0.05,0.0275
40,2045,0.07,0.04
41,2005,0.03,0
41,2010,0.03,0
41,2020,0.03,0.0075
41,2035,0.05,0.0275
41,2045,0.07,0.04
42,2005,0.03,0
42,2010,0.03,0
42,2020,0.03,0.0075
42,2035,0.05,0.0275
42,2045,0.07,0.04
43,2005,0.03,0
43,2010,0.03,0
43,2020,0.03,0.0075
43,2035,0.05,0.0275
43,2045,0.07,0.04
44,2005,0.03,0
44,2010,0.03,0
44,2020,0.03,0.0075
44,2035,0.05,0.0275
44,2045,0.07,0.04
45,2005,0.03,0
45,2010,0.03,0
45,2020,0.03,0.0075
45,2035,0.05,0.0275
45,2045,0.07,0.04
46,2005,0,0
46,2010,0,0
46,2020,0,0
46,2035,0,0
46,2045,0,0
47,2005,0.03,0
47,2010,0.03,0
47,2020,0.03,0.0075
47,2035,0.05,0.0275
47,2045,0.07,0.04
48,2005,0.03,0
48,2010,0.03,0
48,2020,0.03,0.0075
48,2035,0.05,0.0275
48,2045,0.07,0.04
49,2005,0,0
49,2010,0,0
49,2020,0,0
49,2035,0,0
49,2045,0,0
50,2005,0,0
50,2010,0,0
50,2020,0,0
50,2035,0,0
50,2045,0,0
51,2005,0,0
51,2010,0,0
51,2020,0,0
51,2035,0,0
51,2045,0,0
52,2005,0.03,0
52,2010,0.03,0
52,2020,0.03,0.0075
52,2035,0.05,0.0275
52,2045,0.07,0.04
53,2005,0,0
53,2010,0,0
53,2020,0,0
53,2035,0,0
53,2045,0,0
54,2005,0,0
54,2010,0,0
54,2020,0,0
54,2035,0,0
54,2045,0,0
55,2005,0,0
55,2010,0,0
55,2020,0,0
55,2035,0,0
55,2045,0,0
56,2005,0,0
56,2010,0,0
56,2020,0,0
56,2035,0,0
56,2045,0,0
57,2005,0.03,0
57,2010,0.03,0
57,2020,0.03,0.0075
57,2035,0.05,0.0275
57,2045,0.07,0.04
58,2005,0,0
58,2010,0,0
58,2020,0,0
58,2035,0,0
58,2045,0,0
59,2005,0.03,0
59,2010,0.03,0
59,2020,0.03,0.0075
59,2035,0.05,0.0275
59,2045,0.07,0.04
60,2005,0,0
60,2010,0,0
60,2020,0,0
60,2035,0,0
60,2045,0,0
61,2005,0.03,0
61,2010,0.03,0
61,2020,0.03,0.0075
61,2035,0.05,0.0275
61,2045,0.07,0.04
62,2005,0.03,0
62,2010,0.03,0
62,2020,0.03,0.0075
62,2035,0.05,0.0275
62,2045,0.07,0.04
63,2005,0,0
63,2010,0,0
63,2020,0,0
63,2035,0,0
63,2045,0,0
64,2005,0.03,0
64,2010,0.03,0
64,2020,0.03,0.0075
64,2035,0.05,0.0275
64,2045,0.07,0.04
65,2005,0.03,0
65,2010,0.03,0
