Geo,Year,SFDU,MFDU,GQDU
55,2020,1670,19,0
55,2035,1765,16,0
55,2045,1828,14,0
56,2005,15,0,0
56,2010,17,0,0
56,2020,18,0,0
56,2035,43,0,0
56,2045,59,0,0
57,2005,388,959,0
57,2010,432,1068,0
57,2020,457,1130,0
57,2035,467,1236,0
57,2045,474,1307,0
58,2005,955,226,0
58,2010,1063,251,0
58,2020,1125,266,0
58,2035,1158,625,0
58,2045,1180,865,0
59,2005,220,746,0
59,2010,245,831,0
59,2020,259,879,0
59,2035,285,897,0
59,2045,302,909,0
60,2005,916,498,0
60,2010,1020,555,0
60,2020,1079,587,0
60,2035,1120,589,0
60,2045,1148,590,0
61,2005,1223,551,0
61,2010,1362,614,0
61,2020,1441,649,0
61,2035,1450,701,0
61,2045,1456,735,0
62,2005,563,552,0
62,2010,627,614,0
62,2020,663,650,0
62,2035,689,657,0
62,2045,707,662,0
63,2005,977,183,0
63,2010,1088,203,0
63,2020,1151,215,0
63,2035,1234,214,0
63,2045,1290,214,0
64,2005,1213,500,0
64,2010,1351,557,0
64,2020,1429,589,0
64,2035,1470,725,0
64,2045,1497,815,0
65,2005,1096,975,0
65,2010,1220,1085,0
65,2020,1291,1148,0
65,2035,1293,1285,0
65,2045,1294,1376,0
66,2005,965,672,0
66,2010,1075,748,0
66,2020,1137,791,0
66,2035,1168,833,0
66,2045,1188,861,0
67,2005,828,318,0
67,2010,922,354,0
67,2020,975,374,0
67,2035,980,433,0
67,2045,984,472,0
68,2005,773,468,0
68,2010,861,521,0
68,2020,911,551,0
68,2035,905,793,0
68,2045,901,955,0
69,2005,2025,467,0
69,2010,2255,520,0
69,2020,2385,550,0
69,2035,2749,740,0
69,2045,2992,866,0
70,2005,787,1151,0
70,2010,876,1282,0
70,2020,927,1356,0
70,2035,1175,1402,0
70,2045,1340,1433,0
71,2005,1733,272,0
71,2010,1929,303,0
71,2020,2041,320,0
71,2035,2427,405,0
71,2045,2684,461,0
72,2005,154,323,0
72,2010,171,360,0
72,2020,181,381,0
72,2035,179,399,0
72,2045,177,411,0
