"Geo","Year","AveHhSize","Prop1PerHh"
"Coburg",2005,2.66375,0.188884929754288
"Coburg",2010,2.58833333333333,0.191547766447252
"Coburg",2020,2.58857142857143,0.134680134680135
"Coburg",2035,2.60663846870743,0.115637226028182
"Coburg",2045,2.59634634634635,0.0992868627229344
"Eugene",2005,2.34593824228029,0.283268075076828
"Eugene",2010,2.29272727272727,0.299952634904729
"Eugene",2020,2.35682119205298,0.30704301201152
"Eugene",2035,2.52613520913734,0.319714457628021
"Eugene",2045,2.52831436839882,0.332908844746953
"Springfield",2005,2.53128378378378,0.241109287557387
"Springfield",2010,2.50196078431373,0.250424269305581
"Springfield",2020,2.52771929824561,0.275372324686853
"Springfield",2035,2.63878058727366,0.294408401864214
"Springfield",2045,2.53218467096747,0.314760414601602
