dose,RR,lb,ub
22.29597598,0.647122127,0.577001668,0.725764014
22.37393393,0.646972302,0.576829594,0.725644392
22.45189189,0.646822513,0.576657526,0.725524847
22.52984985,0.646672758,0.576485462,0.72540538
22.60780781,0.646523038,0.576313404,0.725285991
22.68576577,0.646373352,0.576141352,0.72516668
22.76372372,0.646223702,0.575969304,0.725047445
22.84168168,0.646074086,0.575797263,0.724928288
22.91963964,0.645924504,0.575625227,0.724809208
22.9975976,0.645774957,0.575453197,0.724690205
23.07555556,0.645625445,0.575281172,0.724571279
23.15351351,0.645475967,0.575109154,0.72445243
23.23147147,0.645326524,0.574937142,0.724333657
23.30942943,0.645177116,0.574765136,0.72421496
23.38738739,0.645027742,0.574593137,0.72409634
23.46534535,0.644878402,0.574421144,0.723977796
23.5433033,0.644729098,0.574249157,0.723859329
23.62126126,0.644579828,0.574077178,0.723740937
23.69921922,0.644430592,0.573905204,0.723622621
23.77717718,0.644281391,0.573733238,0.72350438
23.85513514,0.644132225,0.573561279,0.723386215
23.93309309,0.643983093,0.573389327,0.723268126
24.01105105,0.643833995,0.573217382,0.723150111
24.08900901,0.643684932,0.573045444,0.723032172
24.16696697,0.643535904,0.572873513,0.722914308
24.24492492,0.64338691,0.57270159,0.722796519
24.32288288,0.643237951,0.572529675,0.722678805
24.40084084,0.643089026,0.572357767,0.722561165
24.4787988,0.642940135,0.572185867,0.7224436
24.55675676,0.642791279,0.572013975,0.722326109
24.63471471,0.642642458,0.571842091,0.722208692
24.71267267,0.642493671,0.571670215,0.72209135
24.79063063,0.642344918,0.571498347,0.721974081
24.86858859,0.6421962,0.571326487,0.721856886
24.94654655,0.642047516,0.571154636,0.721739766
25.0245045,0.641898867,0.570982794,0.721622718
25.10246246,0.641750252,0.570810959,0.721505744
25.18042042,0.641601672,0.570639134,0.721388844
25.25837838,0.641453126,0.570467317,0.721272017
25.33633634,0.641304614,0.57029551,0.721155263
25.41429429,0.641156137,0.570123711,0.721038581
25.49225225,0.641007694,0.569951921,0.720921973
25.57021021,0.640859285,0.569780141,0.720805437
25.64816817,0.640710911,0.569608369,0.720688975
25.72612613,0.640562571,0.569436607,0.720572584
25.80408408,0.640414266,0.569264855,0.720456266
25.88204204,0.640265995,0.569093112,0.72034002
25.96,0.640117758,0.568921379,0.720223846
26.03795796,0.639969555,0.568749656,0.720107744
26.11591592,0.639821387,0.568577942,0.719991714
26.19387387,0.639673253,0.568406239,0.719875756
26.27183183,0.639525154,0.568234545,0.71975987
26.34978979,0.639377088,0.568062862,0.719644054
26.42774775,0.639229057,0.567891189,0.719528311
26.50570571,0.639081061,0.567719526,0.719412638
26.58366366,0.638933098,0.567547874,0.719297037
26.66162162,0.63878517,0.567376232,0.719181506
26.73957958,0.638637276,0.567204601,0.719066047
26.81753754,0.638489416,0.567032981,0.718950658
26.8954955,0.638341591,0.566861371,0.71883534
26.97345345,0.638193799,0.566689772,0.718720092
27.05141141,0.638046042,0.566518185,0.718604915
27.12936937,0.637898319,0.566346608,0.718489808
27.20732733,0.637750631,0.566175043,0.718374771
27.28528529,0.637602976,0.566003489,0.718259804
27.36324324,0.637455356,0.565831947,0.718144907
27.4412012,0.63730777,0.565660416,0.71803008
27.51915916,0.637160218,0.565488896,0.717915323
27.59711712,0.6370127,0.565317389,0.717800635
27.67507508,0.636865217,0.565145893,0.717686016
27.75303303,0.636717767,0.564974408,0.717571467
27.83099099,0.636570352,0.564802936,0.717456987
27.90894895,0.636422971,0.564631476,0.717342576
27.98690691,0.636275624,0.564460028,0.717228234
28.06486486,0.636128311,0.564288592,0.717113961
28.14282282,0.635981032,0.564117169,0.716999756
28.22078078,0.635833787,0.563945758,0.71688562
28.29873874,0.635686576,0.56377436,0.716771553
28.3766967,0.6355394,0.563602974,0.716657554
28.45465465,0.635392257,0.563431601,0.716543623
28.53261261,0.635245149,0.56326024,0.71642976
28.61057057,0.635098075,0.563088893,0.716315966
28.68852853,0.634951034,0.562917559,0.716202239
28.76648649,0.634804028,0.562746237,0.71608858
28.84444444,0.634657056,0.562574929,0.715974989
28.9224024,0.634510117,0.562403634,0.715861465
29.00036036,0.634363213,0.562232352,0.715748008
29.07831832,0.634216343,0.562061084,0.715634619
29.15627628,0.634069507,0.561889829,0.715521297
29.23423423,0.633922705,0.561718588,0.715408042
29.31219219,0.633775936,0.561547361,0.715294854
29.39015015,0.633629202,0.561376147,0.715181733
29.46810811,0.633482502,0.561204947,0.715068679
29.54606607,0.633335836,0.561033762,0.714955691
29.62402402,0.633189203,0.56086259,0.71484277
29.70198198,0.633042605,0.560691432,0.714729915
29.77993994,0.632896041,0.560520289,0.714617126
29.8578979,0.63274951,0.56034916,0.714504404
29.93585586,0.632603013,0.560178045,0.714391748
30.01381381,0.632456551,0.560006945,0.714279157
30.09177177,0.632310122,0.55983586,0.714166632
30.16972973,0.632163727,0.559664789,0.714054173
30.24768769,0.632017366,0.559493732,0.71394178
30.32564565,0.631871039,0.559322691,0.713829452
30.4036036,0.631724746,0.559151665,0.71371719
30.48156156,0.631578487,0.558980653,0.713604992
30.55951952,0.631432261,0.558809657,0.71349286
30.63747748,0.63128607,0.558638676,0.713380793
30.71543544,0.631139912,0.55846771,0.713268791
30.79339339,0.630993788,0.55829676,0.713156853
30.87135135,0.630847698,0.558125825,0.713044981
30.94930931,0.630701642,0.557954905,0.712933173
31.02726727,0.630555619,0.557784001,0.712821429
31.10522523,0.630409631,0.557613113,0.71270975
31.18318318,0.630263676,0.557442241,0.712598135
31.26114114,0.630117755,0.557271384,0.712486584
31.3390991,0.629971867,0.557100544,0.712375097
31.41705706,0.629826014,0.556929719,0.712263674
31.49501502,0.629680194,0.556758911,0.712152315
31.57297297,0.629534408,0.556588118,0.712041019
31.65093093,0.629388656,0.556417343,0.711929787
31.72888889,0.629242938,0.556246583,0.711818619
31.80684685,0.629097253,0.55607584,0.711707514
31.8848048,0.628951602,0.555905113,0.711596472
31.96276276,0.628805985,0.555734403,0.711485494
32.04072072,0.628660401,0.55556371,0.711374578
32.11867868,0.628514851,0.555393034,0.711263725
32.19663664,0.628369335,0.555222374,0.711152936
32.27459459,0.628223853,0.555051731,0.711042209
32.35255255,0.628078404,0.554881106,0.710931544
32.43051051,0.627932989,0.554710497,0.710820942
32.50846847,0.627787607,0.554539906,0.710710403
32.58642643,0.627642259,0.554369332,0.710599925
32.66438438,0.627496945,0.554198775,0.71048951
32.74234234,0.627351665,0.554028236,0.710379157
32.8203003,0.627206418,0.553857714,0.710268866
32.89825826,0.627061205,0.55368721,0.710158637
32.97621622,0.626916025,0.553516723,0.71004847
33.05417417,0.626770879,0.553346255,0.709938364
33.13213213,0.626625767,0.553175804,0.70982832
33.21009009,0.626480688,0.553005371,0.709718337
33.28804805,0.626335643,0.552834956,0.709608416
33.36600601,0.626190631,0.552664559,0.709498556
33.44396396,0.626045653,0.55249418,0.709388757
33.52192192,0.625900709,0.55232382,0.709279019
33.59987988,0.625755798,0.552153478,0.709169342
33.67783784,0.62561092,0.551983154,0.709059726
33.7557958,0.625466077,0.551812848,0.70895017
