"Year","ComSvcAutoPropIcev","ComSvcAutoPropHev","ComSvcAutoPropBev","ComSvcLtTrkPropIcev","ComSvcLtTrkPropHev","ComSvcLtTrkPropBev"
2005,1,0,0,1,0,0
2021,0.999886,7e-06,0.000107,0.999886,7e-06,0.000107
2050,0.431,0.536,0.033,0.535,0.456,0.009
