"Geo","Year","VanPropDiesel","VanPropGasoline","VanPropCng","BusPropGasoline","BusPropDiesel","BusPropCng","RailPropGasoline","RailPropDiesel"
"SKATS",2005,0,1,0,0,0.533333333333333,0.466666666666667,0,1
"SKATS",2021,0.149142116,0.850857884,0,0,0.594186378,0.405813622,0,1
"SKATS",2050,0.149142116,0.850857884,0,0,0,1,0,1
