"Geo","Year","ElectricityCI"
"Coburg",2005,20.82747442
"Coburg",2010,20.56287856
"Eugene",2005,20.82747442
"Eugene",2010,20.56287856
"Springfield",2005,20.82747442
"Springfield",2010,20.56287856
"Coburg",2020,19.81004033
"Eugene",2020,19.81004033
"Springfield",2020,19.81004033
"Coburg",2035,18.68078298
"Eugene",2035,18.68078298
"Springfield",2035,18.68078298
"Coburg",2045,17.92794475
"Eugene",2045,17.92794475
"Springfield",2045,17.92794475
