"Geo","Year","LtTrkProp"
"Coburg",2005,0.5
"Coburg",2010,0.51
"Coburg",2020,0.52905393
"Coburg",2035,0.391
"Coburg",2045,0.274
"Eugene",2005,0.5
"Eugene",2010,0.51
"Eugene",2020,0.52905393
"Eugene",2035,0.391
"Eugene",2045,0.274
"Springfield",2005,0.5
"Springfield",2010,0.51
"Springfield",2020,0.52905393
"Springfield",2035,0.391
"Springfield",2045,0.274
