"Geo","Year","PaydHhProp"
"Coburg",2005,0
"Coburg",2010,0
"Coburg",2020,0.01
"Coburg",2035,0.99
"Coburg",2045,1
"Eugene",2005,0
"Eugene",2010,0
"Eugene",2020,0.01
"Eugene",2035,0.99
"Eugene",2045,1
"Springfield",2005,0
"Springfield",2010,0
"Springfield",2020,0.01
"Springfield",2035,0.99
"Springfield",2045,1
