Geo,Year,PropSovDvmtDiverted
Coburg,2005,0.017464147
Coburg,2010,0.026196221
Coburg,2020,0.048899613
Coburg,2035,0.087320737
Coburg,2045,0.087320737
Eugene,2005,0.050062194
Eugene,2010,0.07509329
Eugene,2020,0.140174142
Eugene,2035,0.250310968
Eugene,2045,0.250310968
Springfield,2005,0.023976741
Springfield,2010,0.035965111
Springfield,2020,0.067134874
Springfield,2035,0.119883704
Springfield,2045,0.119883704
