Geo,Year,HHIncomePC.2020,GQIncomePC.2020
Coburg,2005,37313,0
Coburg,2010,34350,0
Coburg,2020,35886,0
Coburg,2035,41200,0
Coburg,2045,45173,0
Eugene,2005,35251,14814
Eugene,2010,27414,14829
Eugene,2020,33902,14882
Eugene,2035,38923,14841
Eugene,2045,42676,14800
Springfield,2005,27287,0
Springfield,2010,21124,0
Springfield,2020,26243,0
Springfield,2035,30129,0
Springfield,2045,33035,0
