"Geo","Year","AutoMeanAge","LtTrkMeanAge"
"Coburg",2005,10.54,11.18
"Coburg",2010,11.27,12.36
"Coburg",2020,12.1,13.66
"Eugene",2005,10.54,11.18
"Eugene",2010,11.27,12.36
"Eugene",2020,12.1,13.66
"Springfield",2005,10.54,11.18
"Springfield",2010,11.27,12.36
"Springfield",2020,12.1,13.66
"Coburg",2035,9.7,10.77
"Eugene",2035,9.7,10.77
"Springfield",2035,9.7,10.77
"Coburg",2045,8.78,9.83
"Eugene",2045,8.78,9.83
"Springfield",2045,8.78,9.83
