"Year","ComSvcAutoPropIcev","ComSvcAutoPropHev","ComSvcAutoPropBev","ComSvcLtTrkPropIcev","ComSvcLtTrkPropHev","ComSvcLtTrkPropBev"
2005,0.988,0.012,0,1,0,0
2010,0.944,0.056,0,0.995,0.005,0
2020,0.94,0.06,0,0.97,0.029,0.001
2035,0.602,0.388,0.01,0.704,0.293,0.003
2045,0.467,0.509,0.024,0.565,0.428,0.007
