"Year","HhFuelCI","CarSvcFuelCI","ComSvcFuelCI","HvyTrkFuelCI","TransitVanFuelCI","TransitBusFuelCI","TransitRailFuelCI"
2005,97.24,97.24,98.67,100.89,97.24,NA,NA
2010,97.23,97.23,98.71,99.2,97.23,NA,NA
2020,98.16992546,98.16992546,95.28718504,96.46692682,95.28718504,NA,NA
2035,79.7,79.7,80.28,68.3,79.7,NA,NA
2045,79.7,79.7,63.4,63.02,79.7,NA,NA
